"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"87","Clinocottus globiceps","Clinocottus","globiceps",2850,"(Girard, 1858)","Mosshead sculpin","Ortri_u0.jpg",NA,NA,NA,277,NA,1361,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.25,19,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"A resident intertidal species with homing behavior (Ref. 32612).  Commonly found in tide pools and shallow rocky areas, often in strong surf (Ref. 2850).  Can leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Sometimes encountered resting on rocks out of water, but usually found under rocks or among seaweeds (Ref. 2850).  Breathes air when out of water (Ref. 31184).",NA,0.5312,0,1,"1991-05-01T00:00:00.000Z",113,"1999-11-25T00:00:00.000Z",10,"1994-07-12T00:00:00.000Z",NA,4059
"88","Clinocottus recalvus","Clinocottus","recalvus",2850,"(Greeley, 1899)","Bald sculpin",NA,NA,NA,NA,277,NA,1361,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.89,13,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Intertidal (Ref. 31184).  Commonly in tide pools and shallow rocky areas.  Can leave tide pools when aquatic conditions become inhospitable (Ref. 31184).  Breathes air when out of water (Ref. 31184).",NA,0.5312,0,1,"1991-05-01T00:00:00.000Z",113,"1999-09-13T00:00:00.000Z",10,"1994-07-12T00:00:00.000Z",NA,4060
"89","Coccotropsis gymnoderma","Coccotropsis","gymnoderma",5499,"(Gilchrist, 1906)","Smooth-skin scorpionfish","Cogym_u0.gif",NA,NA,NA,577,NA,7264,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"demersal",NA,NA,9,108,5499,NA,NA,NA,NA,NA,NA,NA,18.09,4,"TL",NA,NA,5499,NA,NA,NA,NA,NA,NA,NA,NA,"COGYM_U0",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Common in rotenone collections.",NA,1,0,34,"1994-06-13T00:00:00.000Z",303,"2005-07-04T00:00:00.000Z",NA,NA,NA,10724
"90","Cociella heemstrai","Cociella","heemstrai",29003,"Knapp, 1996",NA,"Cohee_u0.jpg",NA,NA,NA,273,NA,8898,NA,NA,"O",NA,NA,0,0,0,-1,"demersal",NA,NA,NA,280,58018,NA,NA,NA,NA,NA,NA,NA,42.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.5312,0,14,"1999-06-11T00:00:00.000Z",949,"2008-10-22T00:00:00.000Z",NA,NA,NA,52914
"91","Congiopodus peruvianus","Congiopodus","peruvianus",2806,"(Cuvier, 1829)","Horsefish","Coper_u2.jpg",NA,NA,NA,275,NA,962,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.12,27.15,"SL",NA,NA,27363,NA,NA,NA,NA,NA,NA,NA,NA,"COPER_U2",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.5195,0,2,"1993-09-08T00:00:00.000Z",113,"2000-02-03T00:00:00.000Z",NA,NA,NA,8398
"92","Congiopodus spinifer","Congiopodus","spinifer",6626,"(Smith, 1839)","Spinenose horsefish","Cospi_u2.gif",NA,NA,NA,275,NA,962,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"demersal",NA,NA,50,500,11228,50,150,36731,NA,NA,NA,NA,23.35,45,"TL",NA,NA,11228,17,"TL",NA,NA,9602,NA,NA,NA,"COSPI_U2",NA,NA,NA,9602,"subsistence fisheries","unknown",NA,"Taken as bycatch in trawl fisheries.",NA,NA,"trawls","unspecified trawls (TX)",0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits soft bottoms (Ref. 27121).  Periodically sheds the outer keratinous layer of its skin (Ref. 27121).  Flesh edible but rarely eaten (Ref. 6626).",NA,0.5195,0,34,"1994-06-13T00:00:00.000Z",14,"2004-03-11T00:00:00.000Z",113,"1998-09-08T00:00:00.000Z",NA,10689
"93","Cottapistus cottoides","Cottapistus","cottoides",39597,"(Linnaeus, 1758)","Marbled stingfish","Cocot_u0.jpg",NA,NA,NA,577,NA,1843,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"demersal",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,36.47,9.2,"SL",NA,NA,39597,NA,NA,NA,NA,NA,NA,NA,NA,"COCOT_U0",NA,NA,NA,9700,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,-1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"venomous",39597,"no special ability",NA,NA,-1,"Found over moderately soft bottoms, from less than a meter to 24 m deep.  Common in shrimp trawls (Ref. 39597).",NA,1,0,2,"1994-06-07T00:00:00.000Z",949,"2007-05-28T00:00:00.000Z",NA,NA,NA,10528
"94","Cottunculus microps","Cottunculus","microps",6696,"Collett, 1875","Polar sculpin","Comic_u0.jpg",NA,NA,NA,282,NA,6014,NA,"elongated","R",NA,NA,0,0,0,-1,"bathydemersal",NA,NA,165,1342,58426,165,215,42091,NA,NA,NA,NA,26.6,30,"SL",NA,NA,35388,14,"SL",NA,NA,6696,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Benthic (Ref. 58426).  Feeds on polychaetes, mysids, amphipods and pycnogonids.  Spawns probably from June to July, ovarian eggs large and few (up to 220) (Ref. 6696).  Female lays 200 eggs with a length of 4.5-5 mm (Ref. 35388).",NA,0.5039,0,18,"1994-03-14T00:00:00.000Z",1472,"2007-07-03T00:00:00.000Z",NA,NA,NA,9199
"95","Cottunculus nudus","Cottunculus","nudus",5755,"Nelson, 1989","Bonyskull toadfish",NA,NA,NA,NA,282,NA,6014,NA,NA,"o",NA,NA,0,0,0,-1,"demersal",NA,NA,NA,1123,58018,NA,NA,NA,NA,NA,NA,NA,12.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.5039,0,113,"1998-04-01T00:00:00.000Z",113,"2008-07-14T00:00:00.000Z",NA,NA,NA,47424
"96","Cottunculus thomsonii","Cottunculus","thomsonii",9925,"(Günther, 1882)","Pallid sculpin","Cotho_u0.jpg",NA,NA,NA,282,NA,6014,NA,"elongated","O",NA,NA,0,0,0,-1,"bathydemersal",NA,NA,100,1600,9925,NA,NA,NA,NA,NA,NA,NA,35.68,43,"TL",NA,NA,94423,NA,NA,NA,NA,NA,1360,NA,94423,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 6696).",NA,0.5039,0,159,"1995-11-08T00:00:00.000Z",10,"2013-11-13T00:00:00.000Z",NA,NA,NA,15623
"97","Cottus aleuticus","Cottus","aleuticus",5723,"Gilbert, 1896","Coastrange sculpin","Coale_u1.gif",NA,NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","catadromous",51243,NA,NA,NA,NA,NA,NA,8,27547,NA,NA,34.17,17,"TL",NA,NA,5723,6,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,10280,"of no interest",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits gravel and rubble riffles of medium to large rivers and rocky shores of lakes (Ref. 5723).  Occasionally enters estuaries (Ref. 5723) and nearshore coastal water (Ref. 43939).  Feeds mostly at night and mostly on aquatic insects and benthic invertebrates (Ref. 27547).  Generally solitary but large aggregations have been noted (Ref. 27547).  Makes regular seasonal migrations associated with spawning (Ref. 27547).  Considered a forage fish for some salmonids (Ref. 1998).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",2291,"2015-07-15T00:00:00.000Z",113,"1996-01-15T00:00:00.000Z",NA,4061
"98","Cottus altaicus","Cottus","altaicus",57778,"Kaschenko, 1899",NA,NA,NA,NA,NA,277,NA,2056,NA,NA,"O",NA,NA,NA,-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.36,8.1,"TL",NA,NA,93142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.5,0,10,"2013-08-07T00:00:00.000Z",NA,"2013-08-07T00:00:00.000Z",NA,NA,NA,67062
"99","Cottus bairdii","Cottus","bairdii",5723,"Girard, 1850","Mottled sculpin","Cobai_m1.jpg","Cobai_m1.jpg",NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,16,1998,NA,NA,NA,2,12193,NA,NA,34.4,15,"TL",NA,NA,5723,8.4,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,-1,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults occur in rubble and gravel riffles, less often in sand-gravel runs of headwaters, creeks and small rivers.  Also found in springs and their effluents and rocky shores of lakes (Ref. 1998, 10294).  Feed mainly on aquatic insect larvae, but also on crustaceans, annelids, fishes, fish eggs, and plant material (Ref. 1998, 10294).  Spawn in the spring (Ref. 1998).  A male guards the cluster of eggs laid by different females (Ref. 1998).  Neither anterolateral glandular groove nor venom gland is present (Ref. 57406).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",65,"2014-01-27T00:00:00.000Z",113,"1996-01-16T00:00:00.000Z",NA,4065
"100","Cottus beldingii","Cottus","beldingii",5723,"Eigenmann & Eigenmann, 1891","Paiute sculpin","Cobel_u0.jpg",NA,NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.41,13,"TL",NA,NA,5723,4.75,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits rubble and gravel riffles of cold creeks and small to medium rivers.  Also found in rocky shores of lakes.",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",65,"2014-01-27T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",NA,4066
"101","Cottus carolinae","Cottus","carolinae",5723,"(Gill, 1861)","Banded sculpin","Cocar_u0.jpg","Cocar_m0.jpg",NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.56,18,"TL",NA,NA,5723,9.5,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit gravel and rubble riffles of headwaters, creeks and small rivers.  Also occur in springs and their effluents (Ref 5723, 10294).  Young feed on aquatic insect immatures of many kinds, including caddisflies, mayflies, and midge larvae; adults on stonefly nymphs and maturing stages of other insects (Ref. 10294).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",1472,"2007-11-14T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",NA,4067
"102","Cottus cognatus","Cottus","cognatus",5723,"Richardson, 1836","Slimy sculpin","Cocog_u0.jpg",NA,NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,-1,0,"demersal",NA,NA,6,128,1998,NA,NA,NA,7,28921,NA,NA,49.66,12.1,"TL",NA,NA,27547,7.5,"TL",NA,NA,27547,NA,NA,NA,NA,NA,NA,NA,27547,"of no interest",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",27547,"public aquariums","based mainly on capture",9183,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits rocky riffles of cold streams, rocky areas of lakes (commonly at 90-106 m depth), springs and their effluents (Ref. 5723).  Moves into shallow water to spawn (Ref. 27547).  In some areas, they are common in brackish water (Ref. 27843), presumably moving to and from fresh water, at least for spawning (Ref. 27547).  Feeds mostly on aquatic insect larvae and nymphs but also on crustaceans, small fishes, and plant materials (Ref. 1998).  May be used as bait, but this seems rare (Ref. 27547).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",113,"1999-04-14T00:00:00.000Z",113,"1996-01-04T00:00:00.000Z",NA,4068
"103","Cottus confusus","Cottus","confusus",5723,"Bailey & Bond, 1963","Shorthead sculpin","Cocon_u0.gif",NA,NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,6,12193,NA,NA,34.4,15,"TL",NA,NA,5723,8.6,"TL",NA,NA,12193,NA,NA,NA,"COCON_U0",NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs in fast, rocky riffles of cold headwaters, creeks and rivers.",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",65,"2014-01-27T00:00:00.000Z",113,"1996-01-03T00:00:00.000Z",NA,4069
"104","Cottus girardi","Cottus","girardi",5723,"Robins, 1961","Potomac sculpin","Cogir_f0.jpg","Cogir_m0.jpg","Cogir_f0.jpg",NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.59,14,"TL",NA,NA,5723,7.8,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits rocky runs and pools of creeks and small to medium rivers, often near vegetation.",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",NA,4072
"105","Cottus hypselurus","Cottus","hypselurus",3814,"Robins & Robison, 1985","Ozark sculpin","Cohyp_u0.jpg",NA,NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.59,14,"TL",NA,NA,5723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,0,"Occurs in gravel riffles of creeks and small to medium rivers, and often near vegetation in springs and their effluents.",NA,0.5,0,10,"1994-05-31T00:00:00.000Z",65,"2014-01-27T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",NA,10359
"106","Cottus klamathensis","Cottus","klamathensis",5723,"Gilbert, 1898","Marbled sculpin",NA,NA,NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,5,6083,NA,NA,33.94,9,"TL",NA,NA,5723,6,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits soft-bottomed runs of clear, cold creeks and small to medium rivers.",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",10,"2004-09-11T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",NA,4075
"107","Cottus perplexus","Cottus","perplexus",5723,"Gilbert & Evermann, 1894","Reticulate sculpin","Coper_u0.jpg",NA,NA,NA,277,NA,2056,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.86,10,"TL",NA,NA,5723,8,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits rubble and gravel-bottomed pools and riffles of headwaters, creeks and small rivers.  Where the <i>Cottus rhotheus</i> and <i>C. aleuticus</i> do not occur, this species occupies riffles ; at localities where all occur together, it shifts to pools.",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",65,"2014-01-27T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",NA,4078
"108","Cottus poecilopus","Cottus","poecilopus",55856,"Heckel, 1837","Alpine bullhead","Copoe_u2.jpg",NA,NA,NA,277,NA,2056,NA,"elongated","R",NA,NA,0,-1,-1,0,"demersal",NA,NA,0,15,58496,NA,NA,NA,8,4698,NA,NA,33.76,15,"SL",NA,NA,4698,11.8,"TL",NA,NA,35840,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"usually",9696,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits northern, and mountain and foothill streams, and oligotrophic lakes.  Found in fast-flowing waters of coastal streams, rivers, inland lakes, usually on stony bottoms (Ref. 4698).  Moves downstream to estuaries and tolerates brackish waters (Ref. 4698).  Feeds on algae (diatoms, desmids, blue-green algae), polychaetes, crustaceans, aquatic insect larvae and nymphs (<i>Ephemeroptera</i>, <i>Trichoptera</i>, <i>Plecoptera</i>, <i>Chironomidae</i>), fish eggs and larvae.",NA,0.5,0,2,"1993-09-24T00:00:00.000Z",65,"2014-01-27T00:00:00.000Z",18,"1994-09-06T00:00:00.000Z",NA,8419
"109","Cottus rhotheus","Cottus","rhotheus",5723,"(Smith, 1882)","Torrent sculpin",NA,NA,NA,NA,277,NA,2056,NA,NA,"O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,15.5,"TL",NA,NA,1998,6.75,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,-1,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits rubble and gravel riffles of rivers and rocky lake shores.  Individuals up to 5 cm feed on planktonic crustaceans and aquatic insect larvae especially that of midges and mayflies (Ref. 1998).  Larger sculpins feed on minnows and other fishes (Ref. 1998).  Possibly spawns in June (Ref. 1998).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",113,"1996-09-24T00:00:00.000Z",113,"1996-01-03T00:00:00.000Z",NA,4082
"110","Cottus szanaga","Cottus","szanaga",53210,"Dybowski, 1869",NA,NA,NA,NA,NA,277,NA,2056,NA,NA,"O",NA,NA,0,-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.58,8.2,"SL",NA,NA,93142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.5,0,10,"2007-01-17T00:00:00.000Z",10,"2013-08-06T00:00:00.000Z",NA,NA,NA,63082
"111","Cottus tenuis","Cottus","tenuis",5723,"(Evermann & Meek, 1898)","Slender sculpin",NA,NA,NA,NA,277,NA,2056,NA,NA,"O",NA,NA,0,-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.45,9,"TL",NA,NA,5723,7,"TL",NA,NA,12193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,NA,NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occur over mud, sand and gravel on lake shores, and in riffles, runs and pools of creeks and small to medium rivers.",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",10,"1994-05-31T00:00:00.000Z",10,"1994-04-30T00:00:00.000Z",NA,4084
"112","Cryptacanthodes aleutensis","Cryptacanthodes","aleutensis",2850,"(Gilbert, 1896)","Dwarf wrymouth","Crale_u0.gif",NA,NA,NA,394,NA,5460,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,46,350,2850,NA,NA,NA,NA,NA,NA,NA,16.95,30,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Apparently lives partly buried in mud bottoms (Ref. 2850, 4925).",NA,0.625,0,1,"1991-05-01T00:00:00.000Z",65,"2014-02-27T00:00:00.000Z",113,"1996-08-30T00:00:00.000Z",NA,3817
"113","Cryptacanthodes bergi","Cryptacanthodes","bergi",559,"Lindberg, 1930",NA,NA,NA,NA,NA,394,NA,5460,NA,NA,"O",NA,"Possibly a synonym of <i>Cryptacanthodes aleutensis</i> (Gilbert, 1896) according to Mecklenburg (2003: Ref. 48957).",1,0,0,-1,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.66,21,"TL",NA,NA,56557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.625,0,113,"1996-06-19T00:00:00.000Z",303,"2011-06-13T00:00:00.000Z",NA,NA,NA,23798
"114","Cryptacanthodes giganteus","Cryptacanthodes","giganteus",12204,"(Kittlitz, 1858)","Giant wrymouth","Crgig_u2.jpg",NA,NA,NA,394,NA,5460,NA,"elongated","o",NA,NA,0,0,0,-1,"demersal",NA,NA,6,128,12204,NA,NA,NA,NA,NA,NA,NA,60.48,117,"TL",NA,NA,12204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on soft bottoms (Ref. 12204).  Probably spends part of its life buried (Ref. 12204).",NA,0.625,0,113,"1999-10-08T00:00:00.000Z",65,"2014-02-27T00:00:00.000Z",NA,NA,NA,54155
